dataset,alpha,projector_width,seed,final_erank_clean_h,final_erank_clean_z,final_erank_aug_z_LEGACY,early_erank_clean_h_5ep,early_erank_aug_z_5ep_LEGACY,linear_probe_test_acc,finetune_test_acc
ecg5000,0.0,64,0,8.789323806762695,9.374879837036133,9.424697875976562,8.789323806762695,9.424697875976562,0.5846666666666667,0.9308888888888889
ecg5000,0.0,64,1,9.509040832519531,27.351806640625,24.387760434831893,5.521605491638184,10.271086420331683,0.6595555555555556,0.9337777777777778
ecg5000,0.0,64,2,11.735292434692383,28.777637481689453,25.040406363351003,7.280285358428955,10.611516407557897,0.5837777777777777,0.9357777777777778
ecg5000,0.0,64,3,10.932753562927246,26.726089477539062,25.02348436628069,7.462995529174805,10.385702678135463,0.5815555555555556,0.9302222222222222
ecg5000,0.0,64,4,10.977649688720703,27.697187423706055,24.49249812534877,6.109645366668701,10.265177726745605,0.5851111111111111,0.9284444444444444
ecg5000,0.25,64,0,4.7459845542907715,15.310670852661133,16.210518973214285,4.957624435424805,7.850898810795376,0.8606666666666667,0.9308888888888889
ecg5000,0.25,64,1,4.063222408294678,17.60145378112793,15.914593015398298,3.68241286277771,7.984231744493757,0.8757777777777778,0.9317777777777778
ecg5000,0.25,64,2,4.121551513671875,16.562210083007812,15.370116370064872,4.35899543762207,8.133838789803642,0.8704444444444445,0.9282222222222222
ecg5000,0.25,64,3,3.996786594390869,15.955971717834473,15.198438371930804,4.0607194900512695,7.687266894749233,0.8662222222222222,0.9302222222222222
ecg5000,0.25,64,4,3.829401731491089,16.39536476135254,15.686728613717216,4.157555103302002,8.066378457205635,0.8837777777777778,0.9226666666666666
ecg5000,0.5,64,0,3.918240785598755,10.772881507873535,11.385226794651576,4.4141364097595215,6.99278381892613,0.8664444444444445,0.9304444444444444
ecg5000,0.5,64,1,3.0102803707122803,11.379307746887207,11.337140355791364,3.6504218578338623,7.808193138667515,0.8751111111111111,0.9313333333333333
ecg5000,0.5,64,2,3.1096744537353516,11.64712142944336,11.336437089102608,3.393507719039917,7.553881713322231,0.8755555555555555,0.9264444444444444
ecg5000,0.5,64,3,3.9455859661102295,11.910983085632324,11.652762957981654,3.857980489730835,7.499914509909494,0.8742222222222222,0.9295555555555556
ecg5000,0.5,64,4,3.454122304916382,10.283122062683105,10.821430206298828,3.862788200378418,7.479927676064627,0.8771111111111111,0.928
ecg5000,0.75,64,0,3.2943837642669678,7.937573432922363,8.476669311523438,3.7898647785186768,6.905535561697824,0.8882222222222222,0.9308888888888889
ecg5000,0.75,64,1,3.378831624984741,7.40817403793335,8.208218506404332,3.481355667114258,7.912499359675816,0.8748888888888889,0.9317777777777778
ecg5000,0.75,64,2,3.27278470993042,7.230313301086426,8.176261016300746,3.6407060623168945,7.584965978349958,0.8748888888888889,0.9277777777777778
ecg5000,0.75,64,3,3.4255480766296387,8.331351280212402,8.986425808497838,3.6880898475646973,8.021799768720355,0.872,0.9302222222222222
ecg5000,0.75,64,4,3.0498087406158447,8.14098072052002,8.55134323665074,3.3488025665283203,8.139500209263392,0.8846666666666667,0.9275555555555556
ecg5000,1.0,64,0,3.720791816711426,3.0037038326263428,9.462590626307897,3.720791816711426,9.462590626307897,0.8677777777777778,0.9317777777777778
ecg5000,1.0,64,1,3.4482717514038086,5.362562656402588,7.461619785853794,3.217339515686035,9.171348571777344,0.8751111111111111,0.9317777777777778
ecg5000,1.0,64,2,3.3609366416931152,5.999186992645264,7.449836730957031,3.230624198913574,9.312393052237374,0.8895555555555555,0.9277777777777778
ecg5000,1.0,64,3,3.63447904586792,4.58413028717041,7.859025955200195,4.311751365661621,9.078879492623466,0.8871111111111111,0.9311111111111111
ecg5000,1.0,64,4,3.219370126724243,4.282683372497559,7.410261971609933,3.1313703060150146,9.313425472804479,0.8864444444444445,0.9284444444444444
ecg5000,0.0,512,0,18.193374633789062,52.01968765258789,36.748429434640066,11.975289344787598,17.16519001552037,0.5817777777777777,0.9297777777777778
ecg5000,0.0,512,1,15.097357749938965,49.165042877197266,36.04355675833566,8.540456771850586,15.48385511125837,0.5735555555555556,0.9317777777777778
ecg5000,0.0,512,2,16.90427589416504,51.83308029174805,36.61105074201311,10.36764907836914,17.493385859898158,0.5788888888888889,0.9317777777777778
ecg5000,0.0,512,3,16.275724411010742,51.8291015625,35.92682320731027,10.145371437072754,16.637958117893763,0.6157777777777778,0.93
ecg5000,0.0,512,4,16.37194061279297,50.44820022583008,36.068621499197825,9.814774513244629,16.386316571916854,0.5837777777777777,0.9284444444444444
ecg5000,0.25,512,0,5.108602046966553,24.134605407714844,21.084799902779714,4.739623069763184,10.943894250052315,0.8753333333333333,0.9293333333333333
ecg5000,0.25,512,1,4.614045143127441,24.18867301940918,21.490365982055664,3.9451539516448975,10.294196810041155,0.8688888888888889,0.93
ecg5000,0.25,512,2,4.348138332366943,24.369102478027344,21.552194322858536,4.3502373695373535,10.666314806256976,0.8591111111111112,0.932
ecg5000,0.25,512,3,5.0055317878723145,24.46356964111328,21.66325650896345,4.198533535003662,10.58598872593471,0.8615555555555555,0.9308888888888889
ecg5000,0.25,512,4,4.6563944816589355,24.51712417602539,21.281383514404297,4.336548805236816,10.450967379978724,0.8766666666666667,0.9304444444444444
ecg5000,0.5,512,0,3.9174463748931885,14.521102905273438,13.51584884098598,3.517059087753296,8.211647033691406,0.8771111111111111,0.9291111111111111
ecg5000,0.5,512,1,4.203575611114502,14.234562873840332,13.952588490077428,3.6666908264160156,7.819833755493164,0.8682222222222222,0.9271111111111111
ecg5000,0.5,512,2,3.8429222106933594,15.027448654174805,13.83801759992327,3.7829337120056152,8.466562679835729,0.878,0.9317777777777778
ecg5000,0.5,512,3,3.4129490852355957,14.792149543762207,13.883832659040179,3.661928653717041,8.24623543875558,0.8744444444444445,0.9302222222222222
ecg5000,0.5,512,4,4.229557037353516,14.96939754486084,13.842823164803642,3.5339818000793457,7.530797481536865,0.8864444444444445,0.9308888888888889
ecg5000,0.75,512,0,3.5411181449890137,8.87176513671875,10.063433238438197,3.302778720855713,8.434114728655134,0.8868888888888888,0.9297777777777778
ecg5000,0.75,512,1,3.835096597671509,9.613471984863281,10.495165416172572,3.833491802215576,8.469190325055804,0.8724444444444445,0.9288888888888889
ecg5000,0.75,512,2,3.842144727706909,8.304095268249512,9.953469685145787,3.5402474403381348,8.897241047450475,0.8762222222222222,0.9313333333333333
ecg5000,0.75,512,3,3.8700876235961914,9.954505920410156,10.042487961905342,3.456926107406616,8.669276237487793,0.886,0.9308888888888889
ecg5000,0.75,512,4,3.5394582748413086,8.100923538208008,10.010135105678014,3.1247239112854004,7.683289800371442,0.8873333333333333,0.93
ecg5000,1.0,512,0,3.3703997135162354,5.591168403625488,8.03937918799264,3.949899673461914,10.349511963980538,0.8717777777777778,0.9264444444444444
ecg5000,1.0,512,1,3.3837783336639404,7.368422508239746,8.31086812700544,3.56563138961792,10.876375198364258,0.8711111111111111,0.9315555555555556
ecg5000,1.0,512,2,3.0987813472747803,5.35066032409668,7.772882052830288,2.7699437141418457,10.130332674298968,0.8904444444444445,0.932
ecg5000,1.0,512,3,3.8510496616363525,6.660383701324463,8.309055737086705,3.563852548599243,10.374287060328893,0.8595555555555555,0.9304444444444444
ecg5000,1.0,512,4,3.580263137817383,6.302080154418945,7.8981107984270364,3.6367979049682617,9.54594053540911,0.884,0.9304444444444444
